Law_Firm,Wins,Losses,Win_Rate,Neutral_Appearances,Appellant_Appearances,Respondent_Appearances,Law_Firm(from_text)
brodies llp solicitors,0,1,0.0,0,1,0,['brodies llp solicitors']
brookstreet des roches,1,0,100.0,0,0,1,['brookstreet des roches']
broudie jackson canter,0,2,0.0,0,1,1,['broudie jackson canter']
brown jacobson llp,10,16,38.46,2,13,13,['browne jacobson' 'browne jacobson llp' 'brown jacobson llp']
brown rudnick llp,3,2,60.0,0,3,2,['brown rudnick llp']
brown turner ross,1,0,100.0,0,1,0,['brown turner ross']
browne jacobson llp in yxa appeal,0,1,0.0,0,0,1,['browne jacobson llp in yxa appeal']
browne jacobson solicitors,2,0,100.0,0,0,2,['browne jacobson solicitors']
bsg solicitors,1,0,100.0,0,0,1,['bsg solicitors']
bt,0,1,0.0,0,1,0,['bt']
"buckles solicitors llp, who were not instructed in court below",0,1,0.0,0,1,0,"['buckles solicitors llp, who were not instructed in court below']"
bude nathan iwanier,1,0,100.0,0,1,0,['bude nathan iwanier']
burges salmon,5,5,50.0,0,5,5,['burges salmon llp' 'burgess salmon llp' 'burges salmon']
burke niazi solicitors,1,2,33.33,0,2,1,['burke niazi solicitors']
burlingtons,1,1,50.0,0,1,1,['burlingtons legal llp' 'burlingtons']
burness paull llp,1,1,50.0,0,0,2,['burness paull llp']
burney legal solicitors,0,1,0.0,0,1,0,['burney legal solicitors']
burroughs day llp,1,0,100.0,0,0,1,['burroughs day llp']
burton & burton solicitors,2,0,100.0,0,2,0,"['burton & burton, solicitors' 'burton & burton solicitors']"
bury & walkers llp,1,1,50.0,0,1,1,['bury & walkers llp' 'bury walkers llp']
butcher,1,2,33.33,0,1,2,['butcher & barlow llp' 'butcher & barlow solicitors' 'butcher']
butters david grey llp,1,0,100.0,0,0,1,['butters david grey llp']
bwf law llp,0,1,0.0,0,0,1,['bwf law llp']
by bindmans,0,1,0.0,0,1,0,['by bindmans']
by solicitors to her majesty's commissioners for revenue,1,0,100.0,0,0,1,"[""by solicitors to her majesty's commissioners for revenue""]"
by triay stagnetto neish,1,0,100.0,0,0,1,['by triay stagnetto neish']
byrne,2,3,40.0,0,3,2,['byrne']
